Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.993683934211731,0.0003492283867672086,0.0019586042035371065,0.004008254036307335
2c9180975a056a64015a1de4deb16bdc,0.9977627992630005,0.0008214294211938977,0.00013350114750210196,0.0012822662247344851
2c9180975a056a64015a1e0e70ea70ce,0.9948899745941162,0.00027851969934999943,0.001275986316613853,0.0035554806236177683
2c9180975a056a64015a1dfed0c46ec6,0.9947858452796936,0.00039944861782714725,0.0014325391966849566,0.0033821859396994114
2c9180975a056a64015a1dfed0c46ec7,0.9973229765892029,0.0007135624764487147,0.00014500337420031428,0.0018185252556577325
2c9180975a056a64015a1e44ba4377f8,0.06670619547367096,0.007008771412074566,0.7240922451019287,0.2021927684545517
2c9180975a056a64015a1e010c8f6ee1,0.9980105757713318,0.0006762850098311901,0.0001321211166214198,0.0011810276191681623
2c9180975a056a64015a1e1db63072aa,0.9907667636871338,0.0005201141466386616,0.002710092579945922,0.00600302591919899
2c9180975a056a64015a1e1db63072a8,0.0003495957935228944,0.0017626212211325765,0.9971522092819214,0.0007355347624979913
2c9180975a056a64015a1e2354f5733c,0.0002925983280874789,0.0014739591861143708,0.9975704550743103,0.0006629512063227594
2c9180975a056a64015a1e07928f6ff8,0.9973940849304199,0.0011025357525795698,0.0002019049716182053,0.0013014549622312188
2c9180975a056a64015a1e20a607730a,0.9987529516220093,0.0005218645674176514,0.00010491024295333773,0.0006202506483532488
2c9180975a056a64015a1e3322e37587,0.01070945430546999,0.043885692954063416,0.9450411796569824,0.0003636849869508296
2c9180975a056a64015a1e050c296fcd,0.9936554431915283,0.00029712688410654664,0.0016818029107525945,0.0043656774796545506
2c9180975a056a64015a1e050c296fcf,0.9952581524848938,0.0002921640407294035,0.0014487680746242404,0.003000873839482665
2c9180975a056a64015a1e04ad9f6f84,0.00033509405329823494,0.0035868154373019934,0.9953248500823975,0.0007531883311457932
2c9180975a056a64015a1de7a19c6c2b,0.993683934211731,0.0003492283867672086,0.0019586042035371065,0.004008254036307335
2c9180975a056a64015a1e1180a37123,0.0003497235884424299,0.0016287490725517273,0.9972865581512451,0.000735024397727102
2c9180975a056a64015a1e1d735c729b,0.9954094290733337,0.00030757469357922673,0.0003016078262589872,0.00398138677701354
2c9180975a056a64015a1e1d735c729c,0.00029247227939777076,0.004237875808030367,0.9948136806488037,0.0006559824105352163
2c9180975a056a64015a1e41bbc27765,0.9929783940315247,0.0004321704909671098,0.0022518562618643045,0.004337604157626629
2c9180975a056a64015a1e41bbc2775e,0.9903600215911865,0.0004930801806040108,0.0018655612366274,0.007281277794390917
2c9180975a056a64015a1ddc1a306b28,0.0003496432618703693,0.0016283750301226974,0.9972876310348511,0.0007343959878198802
2c9180975a056a64015a1de453e96baf,0.9974107146263123,0.0007136252825148404,0.00014501613622996956,0.0017306498484686017
2c9180975a056a64015a1e264d5f73c0,0.9940892457962036,0.00043360437848605216,0.001682537142187357,0.003794667776674032
2c9180975a056a64015a1e23443e7337,0.9979255199432373,0.0006761248805560172,0.00013208984455559403,0.001266292529180646
